Table;C;R;U;D;Owner;Program
RPDEF;;;x;;auxiliary;ILDEALNUM;
LPSNS;;x;;;Party_Management;ISIF5;
LCCYS;;x;;;Reference_Data_Manager;ISIF5;
LPRDS;;x;;;Product_Management;ISIF5;
LBRAS;;x;;;Reference_Data_Manager;ISIF5;
ISIFO;;x;;x;Financial_Markets_Trade_engine;ISIF5;
ABA1S;;x;x;;General_Ledger;ABA1S;
LPRDS;;x;;;Product_Management;ABA1S;
LBRAS;;x;;;Reference_Data_Manager;ABA1S;
LCBNS;;x;;;Party_Management;ABA1S;
LCTPS;;x;;;Party_Management;ABA1S;
LCRYS;;x;;;Reference_Data_Manager;ABA1S;
LRCES;;x;;;General_Ledger;ABA1S;
LRESS;;x;;;Reference_Data_Manager;ABA1S;
LPRCO;;x;;;Core;ABA1S;
AGEXS;;x;;;General_ledger;ABA1S;
ADETS;;x;x;;Current_Account_Engine;ABA1S;
ABA1L;x;;;;auxiliary;ABA1S;
IFFDO;;x;;;Financial_Markets_Trade_engine;ISIF1;
REFFL;;;x;;Reference_Data_Manager;ISIF1;
IFFCO;;x;;;Financial_Markets_Trade_engine;ISIF1;
LCCYS;;x;;;Reference_Data_Manager;ISIF1;
DIPTO;;x;x;;Payments_Execution_Engine;GP-149-CHK-ACC;
DPTRO;;x;x;;Payments_Execution_Engine;GP-149-CHK-ACC;
AASPS;;x;;;auxiliary;GP-149-CHK-ACC;
LCCYS;;x;;;Reference_Data_Manager;GP-149-CHK-ACC;
DCTRO;;x;x;x;Customer_Billing;GP-149-CHK-ACC;
DCONO;;x;;;Payments_Execution_Engine;GP-149-CHK-ACC;
ADETS;;x;;;Current_Account_Engine;GP-149-CHK-ACC;
REFFL;;;x;;Reference_Data_Manager;LPHI5;
LPHIO;;x;;;Party_Management;LPHI5;
REFFL;;;x;;Reference_Data_Manager;LPHIC;
LPHIO;x;x;x;;Party_Management;LPHIC;
LPHYS;;x;;;Party_Management;LPHIC;
LPSNS;;x;;;Party_Management;LPHIC;
LCTIO;;x;;;Party_Management;LPHIC;
LPSIO;;x;;;auxiliary;LPHIC;
AASPS;;;x;;auxiliary;LPHIC;
IGLDO;;x;;;Financial_Markets_Trade_engine;ILINVSEL;
LCBNS;;x;;;Party_Management;ILINVSEL;
ABA1S;;x;;;General_Ledger;ILINVSEL;
LPSNS;;x;;;Party_Management;ILINVSEL;
LCTPS;;x;;;Party_Management;ILINVSEL;
LPRCO;;x;;;Core;ILINVSEL;
ITLDO;;x;;;lending;ILINVSEL;
IFXCO;;x;;;Financial_Markets_Trade_engine;ILINVSEL;
LPHYS;;x;;;Party_Management;LLDLLRDS;
LPSNS;;x;;;Party_Management;LLDLLRDS;
LCBNS;;x;;;Party_Management;LLDLLRDS;
LCCYS;;x;;;Reference_Data_Manager;LLDLLRDS;
LPRDS;;x;;;Product_Management;LLDLLRDS;
INOSO;;x;;;Financial_Markets_Trade_engine;LLDLLRDS;
LCTPS;;x;;;Party_Management;LLDLLRDS;
ABA1S;;x;;;General_Ledger;LLDLLRDS;
LELCS;;x;;;Party_Management;LLDLLRDS;
LBROS;;x;;;Party_Management;LLDLLRDS;
LCTPL;;x;;;auxiliary;LLDLLRDS;
ABA1L;;x;;;auxiliary;LLDLLRDS;
ADETS;;x;;;Current_Account_Engine;LLDLLRDS;
LBRAS;;x;x;;Reference_Data_Manager;LLDLLRDS;
ADETL;;x;;;auxiliary;LLDLLRDS;
LHOLO;;x;;;Reference_Data_Manager;LLDLLRDS;
CFACS;;x;;;Business_Lending_Engine;LLDLLRDS;
CSECS;;x;x;;Collateral_Management;CSSHM;
LCBNS;;x;;;Party_Management;CSSHM;
CPBCO;;x;;;Financial Markets;CSSHM;
LCCYS;;x;;;Reference_Data_Manager;CSSHM;
CSSHO;x;x;x;;financial markets;CSSHM;
CSHTO;;x;;;financial markets;CSSHM;
CSSHL;x;;;;auxiliary;CSSHM;
LPSNS;;x;;;Party_Management;ILOUTOPTTY;
IOPTS;;x;;;Financial_Markets_Trade_engine;ILOUTOPTTY;
LCCYS;;x;;;Reference_Data_Manager;ILOUTOPTTY;
ASPAS;;x;;x;Customer_Reporting;AUSPADEL;
ADETS;;x;;;Current_Account_Engine;AUSPADEL;
ATXCO;;x;;;Current_Account_Engine;ATXC5;
LCCYS;;x;;;Reference_Data_Manager;CLSECTYP2C;
LBGRS;;x;;;Reference_Data_Manager;CLSECTYP2C;
CSECS;;x;;;Collateral_Management;CLSECTYP2C;
LCBNS;;x;;;Party_Management;CLSECTYP2C;
LPHYS;;x;;;Party_Management;CLSECTYP2C;
IGLDO;;x;;;Financial_Markets_Trade_engine;ALDLLCBRGE;
LCCYS;;x;;;Reference_Data_Manager;ALDLLCBRGE;
GCNVO;;x;;;Core;ALDLLCBRGE;
CRTRO;;x;;;Business_Lending_Engine;ALDLLCBRGE;
ITLDO;;x;;;lending;ALDLLCBRGE;
LBRAS;;x;;;Reference_Data_Manager;ALDLLCBRGE;
CCMHO;;x;;;Business_Lending_Engine;ALDLLCBRGE;
CMTLO;;x;;;Business_Lending_Engine;ALDLLCBRGE;
CFACS;;x;;;Business_Lending_Engine;ALDLLCBRGE;
ICNFS;;x;;;Reconciliation_Engine;ALDLLCBRGE;
CFRSO;;x;;;Business_Lending_Engine;ALDLLCBRGE;
CSECS;;x;;;Collateral_Management;ALDLLCBRGE;
ISIMO;;x;;;Business_Lending_Engine;ALDLLCBRGE;
CGUAS;;x;;;Business_Lending_Engine;ALDLLCBRGE;
APPNO;;x;;;Product_Management;ALDLLCBRGE;
CGURO;;x;;;Business_Lending_Engine;ALDLLCBRGE;
LCBNS;;x;;;Party_Management;ALDLLCBRGE;
ADETS;;x;;;Current_Account_Engine;ALDLLCBRGE;
IFXCO;;x;;;Financial_Markets_Trade_engine;ALDLLCBRGE;
IGIRO;;x;x;;Financial_Markets_Trade_engine;ALDLLCBRGE;
ITIRO;;x;;;Financial_Markets_Trade_engine;ALDLLCBRGE;
AMVTO;;x;;;Current_Account_Engine;ALDLLCBRGE;
LCTPS;;x;;;Party_Management;ALDLLCBRGE;
ABA1S;;x;;;General_Ledger;ALDLLCBRGE;
LCTSO;;x;;;Party_Management;ALDLLCBRGE;
BDLGO;;x;;;Financial Markets;ALDLLCBRGE;
BISSO;;x;;;Financial Markets;ALDLLCBRGE;
BDLTO;;x;;;Financial_Markets_Trade_engine;ALDLLCBRGE;
BBOKS;;x;;;Financial_Markets_Trade_engine;ALDLLCBRGE;
