Usable;Table;Short description as found in DB;Owner;Extra explanation as given by expert;Shared;Status;Comments
n;CDFAO;dummy CFACS ;;;;;
n;CDIAL;Diary part of representation ;;;;;
n;CDIAO;Diary part of representation ;;;;;
n;CFACL;Logging CFACS ;;;;;
n;CFAIO;Facility Interim Table ;;;;;
n;CFDDL;Logging CFDDL ;;;;;
n;CFRSL;Facility Reduc.Sched. Logging ;;;;;
n;CFUPO;FUS DEFAULT PARAMETERS ;;;;;
n;CGUAL;Logging CGUAS ;;;;;
n;CGUCL;Guarantee comm. due dates LOG ;;;;;
n;CMHIO;Commercial loan Header Interim ;;;;;
n;CMRGL;Customer Margin LOG ;;;;;
n;CMTBL;LOGFILE CMTBO ;;;;;
n;CMTIO;Trailer commer. loan Interim ;;;;;
n;CMTLL;Comm.loan Trailer record Log ;;;;;
n;CPBGO;GROUP PB CUSTOMERS ;;for reporting purpose;;;
n;CPTIL;Comm.loan payment instr. Log ;;;;;
n;CSCOL;Security Composition Logging ;;;;;
n;CSECL;Securities Logging ;;;;;
n;CSEIO;Securities Interim Table ;;;;;
n;CSHAL;Customer Share Inventory Log ;;;;;
n;CSHML;Logging Structure CSHMO ;;;;;
n;CSHMO;Share Deals Matching Structure ;;;;;
n;CSHTL;Share Type Inventory Logging ;;;;;
n;CSSHL;Security Share Portfolio Log ;;;;;
n;DCNDL;Logging Conditions ;;;;;
n;DCNIO;Def. Conditions Table Interim ;;;;;
n;DCNTL;Condition Types log file ;;;;;
n;DCTIO;Condition types table interim ;;;;;
n;DDDCL;Direct debit contracts log ;;;;;
n;DEFIN;DEFINE SCR., DIC., ETC. ;;techn. Screenid+name;;;
n;DFSCL;FI Settlements Contracts Log ;;;;;
n;DIPTL;Pmt Trs Int Log file ;;;;;
n;DRDIL;Recall Instruction Logging ;;;;;
n;DSTOL;STANDING ORDERS FILE ;;;;;
n;GPAIO;Parameter Settings Interim ;;;;;
n;GPARL;Parameter Settings Logging ;;;;;
n;GSEML;Parameter Settings Logging ;;;;;
